calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm2.txt,72,45340,45823,982,415,Z0
calib_dimm2.txt,72,45356,45776,1005,1158,Z2
calib_dimm2.txt,72,45364,45568,1099,1311,Z2
calib_dimm2.txt,72,45372,45561,1173,1349,Z2
calib_dimm2.txt,72,45378,45726,989,625,Z0
calib_dimm2.txt,72,45396,45730,1008,1052,Z2
calib_dimm2.txt,72,45398,45698,1014,1056,Z2
calib_dimm2.txt,72,45423,45523,1145,1742,Z2
calib_dimm2.txt,72,45464,45857,996,1052,Z2
calib_dimm2.txt,72,45479,45713,994,1665,Z2
calib_dimm2.txt,72,45480,45914,994,955,Z0
calib_dimm2.txt,72,45493,45682,1044,1837,Z2
calib_dimm2.txt,72,45515,45746,998,1531,Z2
calib_dimm2.txt,72,45554,45848,886,826,Z0
calib_dimm2.txt,72,45565,45664,1070,1907,Z2
calib_dimm2.txt,72,45574,45649,1107,1957,Z2
calib_dimm2.txt,72,45578,45918,1079,1234,Z2
calib_dimm2.txt,72,45583,45804,1019,1753,Z2
calib_dimm2.txt,72,45594,45932,1009,1231,Z2
calib_dimm2.txt,72,45612,45766,1145,1904,Z2
calib_dimm2.txt,72,45629,45862,1028,1129,Z2
calib_dimm2.txt,72,45641,45723,1122,1874,Z2
calib_dimm2.txt,72,45655,45758,1051,1835,Z2
calib_dimm2.txt,72,45667,45942,1066,1050,Z0
calib_dimm2.txt,72,45720,45885,1182,1380,Z2
calib_dimm2.txt,72,45749,45798,1125,1621,Z2
calib_dimm2.txt,72,45782,45832,1093,1405,Z2
calib_dimm2.txt,72,45788,45851,1070,1240,Z2
calib_dimm2.txt,72,45800,45914,1186,1165,Z0
calib_dimm2.txt,78,49178,49622,984,1120,Z2
calib_dimm2.txt,78,49189,49292,1111,1098,Z0
calib_dimm2.txt,78,49199,49433,1037,1322,Z2
calib_dimm2.txt,78,49220,49512,1057,1645,Z2
calib_dimm2.txt,78,49221,49679,917,91,Z0
calib_dimm2.txt,78,49227,49554,982,701,Z0
calib_dimm2.txt,78,49232,49465,1002,1255,Z2
calib_dimm2.txt,78,49233,49358,1057,1377,Z2
calib_dimm2.txt,78,49235,49639,981,1174,Z2
calib_dimm2.txt,78,49239,49509,1055,1576,Z2
calib_dimm2.txt,78,49240,49682,971,407,Z0
calib_dimm2.txt,78,49253,49708,932,123,Z0
calib_dimm2.txt,78,49254,49336,1137,1635,Z2
calib_dimm2.txt,78,49272,49481,1001,1472,Z2
calib_dimm2.txt,78,49291,49719,975,941,Z0
calib_dimm2.txt,78,49320,49521,1021,1859,Z2
calib_dimm2.txt,78,49365,49455,1115,1974,Z2
calib_dimm2.txt,78,49371,49461,1131,1995,Z2
calib_dimm2.txt,78,49389,49596,989,1510,Z2
calib_dimm2.txt,78,49411,49650,1048,1777,Z2
calib_dimm2.txt,78,49426,49723,1035,1359,Z2
calib_dimm2.txt,78,49430,49580,1092,1896,Z2
calib_dimm2.txt,78,49461,49778,994,1060,Z2
calib_dimm2.txt,78,49493,49580,1041,1824,Z2
calib_dimm2.txt,78,49495,49573,1142,1877,Z2
calib_dimm2.txt,78,49511,49555,1098,1819,Z2
calib_dimm2.txt,78,49515,49625,1181,1784,Z2
calib_dimm2.txt,78,49586,49731,1145,1333,Z2
calib_dimm2.txt,78,49602,49715,1145,1322,Z2
calib_dimm2.txt,78,49657,49696,1124,1202,Z2
calib_dimm2.txt,78,49674,49725,1214,1225,Z2
calib_dimm2.txt,78,49677,49744,1218,1233,Z2
calib_dimm2.txt,86,54150,54620,1013,1109,Z2
calib_dimm2.txt,86,54151,54664,907,90,Z0
calib_dimm2.txt,86,54163,54503,1041,1569,Z2
calib_dimm2.txt,86,54167,54212,1208,1044,Z0
calib_dimm2.txt,86,54170,54257,1245,1100,Z0
calib_dimm2.txt,86,54216,54713,958,146,Z0
calib_dimm2.txt,86,54225,54620,995,835,Z0
calib_dimm2.txt,86,54230,54771,975,401,Z0
calib_dimm2.txt,86,54237,54338,1143,1382,Z2
calib_dimm2.txt,86,54241,54739,877,211,Z0
calib_dimm2.txt,86,54261,54607,996,1305,Z2
calib_dimm2.txt,86,54274,54518,1078,1932,Z2
calib_dimm2.txt,86,54275,54326,1174,1710,Z2
calib_dimm2.txt,86,54297,54356,1114,1794,Z2
calib_dimm2.txt,86,54303,54693,954,981,Z2
calib_dimm2.txt,86,54306,54427,1057,1815,Z2
calib_dimm2.txt,86,54309,54576,1048,1648,Z2
calib_dimm2.txt,86,54320,54666,986,1249,Z2
calib_dimm2.txt,86,54336,54403,1022,1779,Z2
calib_dimm2.txt,86,54338,54613,1008,1504,Z2
calib_dimm2.txt,86,54345,54576,999,1654,Z2
calib_dimm2.txt,86,54367,54524,1065,1912,Z2
calib_dimm2.txt,86,54384,54655,1016,1285,Z2
calib_dimm2.txt,86,54412,54770,1002,1268,Z2
calib_dimm2.txt,86,54419,54719,1116,1419,Z2
calib_dimm2.txt,86,54423,54474,1101,1972,Z2
calib_dimm2.txt,86,54427,54444,1077,1955,Z2
calib_dimm2.txt,86,54479,54616,1041,1868,Z2
calib_dimm2.txt,86,54510,54692,998,1269,Z2
calib_dimm2.txt,86,54511,54710,1031,1159,Z2
calib_dimm2.txt,86,54524,54600,1121,1824,Z2
calib_dimm2.txt,86,54590,54764,1123,1254,Z2
calib_dimm2.txt,86,54600,54769,1207,1226,Z2
