Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
pair,t12,t23,round,n_full,n_half,half_rows
BASE,-,-,0,0,0,
BASE,-,-,1,0,0,
Ac->Bc,0,0,0,8,0,
Ac->Bc,0,0,1,8,0,
Ac->Bc,0,1,0,8,0,
Ac->Bc,0,1,1,8,0,
Ac->Bc,0,2,0,8,0,
Ac->Bc,0,2,1,8,0,
Ac->Bc,1,1,0,8,0,
Ac->Bc,1,1,1,8,0,
Ac->Bc,2,1,0,8,0,
Ac->Bc,2,1,1,8,0,
Ac->Bc,4,2,0,8,0,
Ac->Bc,4,2,1,8,0,
Ac->Bc,8,2,0,8,0,
Ac->Bc,8,2,1,8,0,
Ac->Bc,30,1,0,8,0,
Ac->Bc,30,1,1,8,0,
Am->Bm,0,0,0,0,1, 49600:0.63
Am->Bm,0,0,1,0,1, 48960:0.63
Am->Bm,0,1,0,0,1, 49600:0.64
Am->Bm,0,1,1,0,1, 48960:0.64
Am->Bm,0,2,0,1,1, 48960:0.54
Am->Bm,0,2,1,1,1, 48960:0.52
Am->Bm,1,1,0,1,1, 48960:0.55
Am->Bm,1,1,1,1,1, 48960:0.52
Am->Bm,2,1,0,1,1, 48960:0.50
Am->Bm,2,1,1,1,1, 48960:0.50
Am->Bm,4,2,0,1,1, 48960:0.50
Am->Bm,4,2,1,1,1, 48960:0.50
Am->Bm,8,2,0,1,1, 48960:0.50
Am->Bm,8,2,1,1,1, 48960:0.50
Am->Bm,30,1,0,1,1, 48960:0.50
Am->Bm,30,1,1,1,1, 48960:0.50
Af->Bf,0,0,0,3,0,
Af->Bf,0,0,1,3,0,
Af->Bf,0,1,0,3,0,
Af->Bf,0,1,1,3,0,
Af->Bf,0,2,0,3,0,
Af->Bf,0,2,1,3,0,
Af->Bf,1,1,0,3,0,
Af->Bf,1,1,1,3,0,
Af->Bf,2,1,0,3,0,
Af->Bf,2,1,1,3,0,
Af->Bf,4,2,0,3,0,
Af->Bf,4,2,1,3,0,
Af->Bf,8,2,0,3,0,
Af->Bf,8,2,1,3,0,
Af->Bf,30,1,0,3,0,
Af->Bf,30,1,1,3,0,
Ac->Bm,0,0,0,16,0,
Ac->Bm,0,0,1,16,0,
Ac->Bm,0,1,0,16,0,
Ac->Bm,0,1,1,16,0,
Ac->Bm,0,2,0,16,0,
Ac->Bm,0,2,1,16,0,
Ac->Bm,1,1,0,16,0,
Ac->Bm,1,1,1,16,0,
Ac->Bm,2,1,0,16,0,
Ac->Bm,2,1,1,16,0,
Ac->Bm,4,2,0,16,0,
Ac->Bm,4,2,1,16,0,
Ac->Bm,8,2,0,16,0,
Ac->Bm,8,2,1,16,0,
Ac->Bm,30,1,0,16,0,
Ac->Bm,30,1,1,16,0,
Am->Bc,0,0,0,0,1, 48960:0.70
Am->Bc,0,0,1,0,1, 48960:0.61
Am->Bc,0,1,0,1,1, 48960:0.55
Am->Bc,0,1,1,1,1, 48960:0.52
Am->Bc,0,2,0,1,1, 48960:0.50
Am->Bc,0,2,1,1,1, 48960:0.50
Am->Bc,1,1,0,1,1, 48960:0.50
Am->Bc,1,1,1,1,1, 48960:0.50
Am->Bc,2,1,0,1,1, 48960:0.50
Am->Bc,2,1,1,1,1, 48960:0.50
