Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
pair,t12,t23,round,n_full,n_half,half_rows,full_rows
BASE,-,-,0,0,0,
BASE,-,-,1,0,0,
Ac->Bc,0,0,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,0,0,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,0,1,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,0,1,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,0,2,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,0,2,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,1,1,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,1,1,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,2,1,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,2,1,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,4,2,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,4,2,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,8,2,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,8,2,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,30,1,0,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Ac->Bc,30,1,1,8,0,, 49156 49180 49252 49276 49284 49308 49380 49404
Am->Bm,0,0,0,1,1, 48960:0.50, 49600
Am->Bm,0,0,1,1,1, 49600:0.50, 48960
Am->Bm,0,1,0,1,1, 48960:0.50, 49600
Am->Bm,0,1,1,1,1, 49600:0.57, 48960
Am->Bm,0,2,0,1,1, 48960:0.50, 49600
Am->Bm,0,2,1,1,1, 48960:0.52, 49600
Am->Bm,1,1,0,1,1, 48960:0.54, 49600
Am->Bm,1,1,1,1,1, 48960:0.52, 49600
Am->Bm,2,1,0,1,1, 48960:0.50, 49600
Am->Bm,2,1,1,1,1, 48960:0.50, 49600
Am->Bm,4,2,0,1,1, 48960:0.50, 49600
Am->Bm,4,2,1,1,1, 48960:0.50, 49600
Am->Bm,8,2,0,1,1, 48960:0.50, 49600
Am->Bm,8,2,1,1,1, 48960:0.50, 49600
Am->Bm,30,1,0,1,1, 48960:0.50, 49600
Am->Bm,30,1,1,1,1, 48960:0.50, 49600
Af->Bf,0,0,0,3,0,, 48656 48784 49904
Af->Bf,0,0,1,3,0,, 48656 48784 49904
Af->Bf,0,1,0,3,0,, 48656 48784 49904
Af->Bf,0,1,1,3,0,, 48656 48784 49904
Af->Bf,0,2,0,3,0,, 48656 48784 49904
Af->Bf,0,2,1,3,0,, 48656 48784 49904
Af->Bf,1,1,0,3,0,, 48656 48784 49904
Af->Bf,1,1,1,3,0,, 48656 48784 49904
Af->Bf,2,1,0,3,0,, 48656 48784 49904
Af->Bf,2,1,1,3,0,, 48656 48784 49904
Af->Bf,4,2,0,3,0,, 48656 48784 49904
Af->Bf,4,2,1,3,0,, 48656 48784 49904
Af->Bf,8,2,0,3,0,, 48656 48784 49904
Af->Bf,8,2,1,3,0,, 48656 48784 49904
