Opened /dev/xdma0_h2c_3 -> 3
Opened /dev/xdma0_c2h_3 -> 4
Successfully reset the FPGA!
pair,t12,t23,round,n_full,n_half,half_rows,full_rows
BASE,-,-,0,0,0,
BASE,-,-,1,0,0,
Ac->Bc,0,0,0,4,0,, 35076 35148 35204 35276
Ac->Bc,0,0,1,4,0,, 35076 35148 35204 35276
Ac->Bc,0,1,0,4,0,, 35076 35148 35204 35276
Ac->Bc,0,1,1,4,0,, 35076 35148 35204 35276
Ac->Bc,0,2,0,4,0,, 35076 35148 35204 35276
Ac->Bc,0,2,1,4,0,, 35076 35148 35204 35276
Ac->Bc,1,1,0,4,0,, 35076 35148 35204 35276
Ac->Bc,1,1,1,4,0,, 35076 35148 35204 35276
Ac->Bc,2,1,0,4,0,, 35076 35148 35204 35276
Ac->Bc,2,1,1,4,0,, 35076 35148 35204 35276
Ac->Bc,4,2,0,4,0,, 35076 35148 35204 35276
Ac->Bc,4,2,1,4,0,, 35076 35148 35204 35276
Ac->Bc,8,2,0,4,0,, 35076 35148 35204 35276
Ac->Bc,8,2,1,4,0,, 35076 35148 35204 35276
Ac->Bc,30,1,0,1,0,, 35204
Ac->Bc,30,1,1,1,0,, 35204
Am->Bm,0,0,0,1,0,, 35520
Am->Bm,0,0,1,1,0,, 35520
Am->Bm,0,1,0,1,0,, 35520
Am->Bm,0,1,1,1,0,, 35520
Am->Bm,0,2,0,1,0,, 35520
Am->Bm,0,2,1,1,0,, 35520
Am->Bm,1,1,0,1,0,, 35520
Am->Bm,1,1,1,1,0,, 35520
Am->Bm,2,1,0,1,0,, 35520
Am->Bm,2,1,1,1,0,, 35520
Am->Bm,4,2,0,1,0,, 35520
Am->Bm,4,2,1,1,0,, 35520
Am->Bm,8,2,0,1,0,, 35520
Am->Bm,8,2,1,1,0,, 35520
Am->Bm,30,1,0,1,0,, 35520
Am->Bm,30,1,1,1,0,, 35520
Af->Bf,0,0,0,2,0,, 35760 35824
Af->Bf,0,0,1,2,0,, 35760 35824
Af->Bf,0,1,0,2,0,, 35760 35824
Af->Bf,0,1,1,2,0,, 35760 35824
Af->Bf,0,2,0,2,0,, 35760 35824
Af->Bf,0,2,1,2,0,, 35760 35824
Af->Bf,1,1,0,2,0,, 35760 35824
Af->Bf,1,1,1,2,0,, 35760 35824
Af->Bf,2,1,0,2,0,, 35760 35824
Af->Bf,2,1,1,2,0,, 35760 35824
Af->Bf,4,2,0,2,0,, 35760 35824
Af->Bf,4,2,1,2,0,, 35760 35824
Af->Bf,8,2,0,2,0,, 35760 35824
Af->Bf,8,2,1,2,0,, 35760 35824
Af->Bf,30,1,0,1,0,, 35824
Af->Bf,30,1,1,1,0,, 35824
Ac->Bm,0,0,0,1,0,, 35520
Ac->Bm,0,0,1,1,0,, 35520
Ac->Bm,0,1,0,1,0,, 35520
Ac->Bm,0,1,1,1,0,, 35520
Ac->Bm,0,2,0,1,0,, 35520
Ac->Bm,0,2,1,1,0,, 35520
Ac->Bm,1,1,0,1,0,, 35520
Ac->Bm,1,1,1,1,0,, 35520
Ac->Bm,2,1,0,1,0,, 35520
Ac->Bm,2,1,1,1,0,, 35520
Ac->Bm,4,2,0,1,0,, 35520
Ac->Bm,4,2,1,1,0,, 35520
Ac->Bm,8,2,0,1,0,, 35520
Ac->Bm,8,2,1,1,0,, 35520
