shape,K,M,qb,rb,arm,d_target,d_actual,iters,load_s,gemv_s_mean,gemv_s_std,gemv_s_min,gemv_s_max,cpu_ms_mean,cpu_ms_std,exact_pct_mean,exact_pct_min,vote3
4096x4096,4096,4096,1,1,paper50,0.5,0.4993,5,0.06,8.61,0.23,8.31,8.93,11.97,2.09,99.9561,99.9512,0
4096x4096,4096,4096,1,1,measured,0.276,0.2736,5,0.06,4.62,0.05,4.55,4.67,11.99,1.24,99.9756,99.9512,0
4096x4096,4096,4096,2,1,paper50,0.5,0.5004,5,0.12,16.78,0.46,16.1,17.21,11.05,1.39,99.9561,99.9268,0
4096x4096,4096,4096,2,1,measured,0.276,0.2766,5,0.12,9.38,0.19,9.24,9.71,11.54,2.15,99.9561,99.9268,0
4096x4096,4096,4096,3,1,paper50,0.5,0.4965,5,0.18,25.18,0.3,24.83,25.48,11.35,1.67,99.9414,99.9023,0
4096x4096,4096,4096,3,1,measured,0.276,0.2788,5,0.18,14.22,0.45,13.44,14.58,10.16,1.08,99.9561,99.9268,0
4096x4096,4096,4096,4,1,paper50,0.5,0.5002,5,0.24,34.09,0.64,33.15,34.85,13.55,3.85,99.917,99.8779,0
4096x4096,4096,4096,4,1,measured,0.276,0.2774,5,0.24,18.88,0.39,18.36,19.33,12.87,3.23,99.9512,99.9268,0
4096x11008,4096,11008,1,1,paper50,0.5,0.5019,5,0.16,8.61,0.16,8.4,8.74,25.82,2.2,99.9328,99.9182,0
4096x11008,4096,11008,1,1,measured,0.251,0.2507,5,0.16,4.35,0.09,4.26,4.48,28.25,1.62,99.9564,99.9455,0
4096x11008,4096,11008,2,1,paper50,0.5,0.4961,5,0.31,16.67,0.39,16.27,17.12,27.92,2.05,99.9092,99.8819,0
4096x11008,4096,11008,2,1,measured,0.251,0.25,5,0.31,8.43,0.26,8.03,8.73,26.76,2.46,99.9237,99.9092,0
4096x11008,4096,11008,3,1,paper50,0.5,0.5008,5,0.45,25.75,0.51,24.93,26.19,28.28,1.16,99.8874,99.8637,0
4096x11008,4096,11008,3,1,measured,0.251,0.25,5,0.45,12.65,0.54,11.88,13.12,25.85,2.01,99.9328,99.9182,0
4096x11008,4096,11008,4,1,paper50,0.5,0.5016,5,0.6,34.35,0.88,33.47,35.68,29.47,3.11,99.8855,99.8728,0
4096x11008,4096,11008,4,1,measured,0.251,0.2513,5,0.6,17.08,0.56,16.29,17.58,26.35,1.59,99.9128,99.9001,0
11008x4096,11008,4096,1,1,paper50,0.5,0.4969,5,0.16,22.6,0.28,22.14,22.89,26.6,2.52,99.9414,99.9268,0
11008x4096,11008,4096,1,1,measured,0.049,0.0492,5,0.16,2.26,0.06,2.19,2.33,27.72,2.56,99.9707,99.9512,0
11008x4096,11008,4096,2,1,paper50,0.5,0.5029,5,0.32,46.26,0.28,45.91,46.6,26.99,1.84,99.9268,99.9023,0
11008x4096,11008,4096,2,1,measured,0.049,0.0487,5,0.32,4.46,0.17,4.29,4.72,28.65,1.89,99.9609,99.9512,0
11008x4096,11008,4096,3,1,paper50,0.5,0.4965,5,0.5,68.31,0.28,68.01,68.68,27.88,2.39,99.9023,99.9023,0
11008x4096,11008,4096,3,1,measured,0.049,0.0497,5,0.5,6.75,0.29,6.46,7.21,28.37,0.98,99.9609,99.9512,0
11008x4096,11008,4096,4,1,paper50,0.5,0.5023,5,0.65,91.53,0.16,91.28,91.71,27.68,2.36,99.917,99.8779,0
11008x4096,11008,4096,4,1,measured,0.049,0.051,5,0.65,9.24,0.45,8.67,9.89,27.81,2.79,99.9609,99.9512,0
32000x4096,4096,32000,1,1,paper50,0.5,0.5021,5,0.45,8.56,0.2,8.32,8.84,76.75,4.91,99.8606,99.8375,0
32000x4096,4096,32000,1,1,measured,0.433,0.4386,5,0.45,7.51,0.12,7.42,7.71,80.09,4.83,99.8875,99.875,0
32000x4096,4096,32000,2,1,paper50,0.5,0.4995,5,0.85,17.04,0.31,16.64,17.35,76.31,4.29,99.8431,99.8312,0
32000x4096,4096,32000,2,1,measured,0.433,0.436,5,0.85,14.83,0.33,14.5,15.27,73.2,4.53,99.8506,99.8406,0
32000x4096,4096,32000,3,1,paper50,0.5,0.501,5,1.3,25.65,0.42,25.13,26.25,74.35,4.26,99.8131,99.8,0
32000x4096,4096,32000,3,1,measured,0.433,0.43,5,1.3,21.89,0.81,20.76,22.68,69.23,1.91,99.8263,99.8031,0
32000x4096,4096,32000,4,1,paper50,0.5,0.499,5,1.74,33.97,0.73,32.82,34.7,76.08,4.76,99.795,99.7812,0
32000x4096,4096,32000,4,1,measured,0.433,0.426,5,1.74,28.95,0.43,28.41,29.41,76.15,3.88,99.7994,99.7812,0
