Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
n_frac,t_frac,frac_init,strict,soft95,meanrate_pct
0,0,ONE,0,0,3.989
1,0,ONE,7,32,49.896
2,0,ONE,100,180,68.057
3,0,ONE,157,263,72.601
4,0,ONE,206,307,74.658
6,0,ONE,188,302,74.994
8,0,ONE,206,313,75.519
12,0,ONE,199,304,75.223
16,0,ONE,193,288,75.271
0,2,ONE,0,0,3.877
1,2,ONE,0,0,19.210
2,2,ONE,0,0,23.498
3,2,ONE,0,1,24.858
4,2,ONE,0,0,25.407
6,2,ONE,0,0,25.311
8,2,ONE,0,0,24.996
12,2,ONE,0,1,25.122
16,2,ONE,0,0,24.996
0,0,ZERO,963,973,65.861
1,0,ZERO,498,626,82.397
2,0,ZERO,289,430,80.222
3,0,ZERO,224,336,77.264
4,0,ZERO,191,302,75.718
6,0,ZERO,191,303,75.364
8,0,ZERO,168,301,74.506
12,0,ZERO,166,286,74.257
16,0,ZERO,180,284,74.123
0,2,ZERO,961,973,65.753
1,2,ZERO,940,973,76.181
2,2,ZERO,943,980,78.045
3,2,ZERO,938,978,78.322
4,2,ZERO,942,983,78.420
6,2,ZERO,943,980,78.490
8,2,ZERO,924,972,78.212
12,2,ZERO,942,981,78.573
16,2,ZERO,943,979,78.477
