Opened /dev/xdma0_h2c_2 -> 3
Opened /dev/xdma0_c2h_2 -> 4
Successfully reset the FPGA!
n_frac,t_frac,frac_init,strict,soft95,meanrate_pct
0,0,ONE,1,25,40.233
1,0,ONE,1320,1718,97.151
2,0,ONE,1758,1955,99.312
3,0,ONE,1824,1997,99.572
4,0,ONE,1842,2004,99.632
6,0,ONE,1855,2008,99.660
8,0,ONE,1854,2005,99.645
12,0,ONE,1856,2001,99.636
16,0,ONE,1855,2005,99.636
0,2,ONE,2,20,40.528
1,2,ONE,237,562,78.693
2,2,ONE,368,771,83.465
3,2,ONE,373,816,84.411
4,2,ONE,389,838,84.710
6,2,ONE,374,838,84.651
8,2,ONE,377,830,84.623
12,2,ONE,384,825,84.475
16,2,ONE,393,812,84.408
0,0,ZERO,1052,1163,85.144
1,0,ZERO,1842,1971,99.370
2,0,ZERO,1915,2010,99.726
3,0,ZERO,1875,2007,99.679
4,0,ZERO,1860,2007,99.665
6,0,ZERO,1839,2005,99.641
8,0,ZERO,1860,2003,99.632
12,0,ZERO,1846,2002,99.612
16,0,ZERO,1834,1995,99.583
0,2,ZERO,1059,1167,85.149
1,2,ZERO,1438,1665,96.152
2,2,ZERO,1541,1719,96.893
3,2,ZERO,1532,1731,97.047
4,2,ZERO,1537,1739,97.104
6,2,ZERO,1521,1739,97.087
8,2,ZERO,1527,1740,97.110
12,2,ZERO,1521,1735,97.093
16,2,ZERO,1557,1742,97.162
