Opened /dev/xdma0_h2c_2 -> 3
Opened /dev/xdma0_c2h_2 -> 4
Successfully reset the FPGA!
phase,n_frac,t_frac,frac_init,retention,coverage_pct
A,0,0,ONE,0,99.9863
A,1,0,ONE,0,100.0000
A,2,0,ONE,0,100.0000
A,3,0,ONE,0,100.0000
A,4,0,ONE,0,100.0000
A,6,0,ONE,0,100.0000
A,8,0,ONE,0,100.0000
A,12,0,ONE,0,100.0000
A,16,0,ONE,0,100.0000
A,0,1,ONE,0,99.9939
A,1,1,ONE,0,100.0000
A,2,1,ONE,0,100.0000
A,3,1,ONE,0,100.0000
A,4,1,ONE,0,100.0000
A,6,1,ONE,0,100.0000
A,8,1,ONE,0,100.0000
A,12,1,ONE,0,100.0000
A,16,1,ONE,0,100.0000
A,0,2,ONE,0,99.9878
A,1,2,ONE,0,100.0000
A,2,2,ONE,0,100.0000
A,3,2,ONE,0,100.0000
A,4,2,ONE,0,100.0000
A,6,2,ONE,0,100.0000
A,8,2,ONE,0,100.0000
A,12,2,ONE,0,100.0000
A,16,2,ONE,0,100.0000
A,0,3,ONE,0,100.0000
A,1,3,ONE,0,100.0000
A,2,3,ONE,0,100.0000
A,3,3,ONE,0,100.0000
A,4,3,ONE,0,100.0000
A,6,3,ONE,0,100.0000
A,8,3,ONE,0,99.9977
A,12,3,ONE,0,99.9969
A,16,3,ONE,0,99.9969
A,0,0,ZERO,0,99.9962
A,1,0,ZERO,0,100.0000
A,2,0,ZERO,0,100.0000
A,3,0,ZERO,0,100.0000
A,4,0,ZERO,0,100.0000
A,6,0,ZERO,0,100.0000
A,8,0,ZERO,0,100.0000
A,12,0,ZERO,0,100.0000
A,16,0,ZERO,0,100.0000
A,0,1,ZERO,0,99.9985
A,1,1,ZERO,0,100.0000
A,2,1,ZERO,0,100.0000
A,3,1,ZERO,0,100.0000
A,4,1,ZERO,0,100.0000
A,6,1,ZERO,0,100.0000
A,8,1,ZERO,0,100.0000
A,12,1,ZERO,0,100.0000
A,16,1,ZERO,0,100.0000
A,0,2,ZERO,0,99.9969
A,1,2,ZERO,0,100.0000
A,2,2,ZERO,0,100.0000
A,3,2,ZERO,0,100.0000
A,4,2,ZERO,0,100.0000
A,6,2,ZERO,0,100.0000
A,8,2,ZERO,0,100.0000
A,12,2,ZERO,0,100.0000
A,16,2,ZERO,0,100.0000
A,0,3,ZERO,0,99.9969
A,1,3,ZERO,0,100.0000
A,2,3,ZERO,0,100.0000
A,3,3,ZERO,0,100.0000
A,4,3,ZERO,0,100.0000
A,6,3,ZERO,0,100.0000
A,8,3,ZERO,0,100.0000
A,12,3,ZERO,0,100.0000
A,16,3,ZERO,0,100.0000
B,3,0,ONE,0,100.0000
B,3,0,ONE,1,100.0000
B,3,0,ONE,2,100.0000
B,3,0,ONE,4,100.0000
B,3,0,ONE,8,100.0000
B,3,0,ONE,16,100.0000
