Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
name,X,ns,nf,tf,t12,t23,strict,soft95,meanrate_pct,jmaj_pct,jmin_pct,runs
m3_32_ZZ,3,32,0,0,0,0,2048,2048,100.000,100.00,100.00,96
m3_32_BAL,3,32,0,0,0,0,2048,2048,100.000,100.00,100.00,96
m3_32_t12,3,32,0,0,1,2,0,0,6.250,0.00,100.00,96
m5_32_ZZ,5,32,0,0,0,0,1023,1039,72.786,53.35,100.00,96
m5_32_BAL,5,32,0,0,0,0,1573,1715,97.330,97.49,98.49,96
m5_32_ZZ_t12,5,32,0,0,1,2,0,0,6.250,0.00,100.00,96
m7_32_2O2Z,7,32,0,0,0,0,3,4,19.081,55.66,19.76,96
m7_32_2O2Z_t12,7,32,0,0,1,2,0,0,6.250,100.00,0.00,96
m7_32_ZZZZ,7,32,0,0,0,0,789,812,55.270,40.00,100.00,96
m7_32_1O3Z,7,32,0,0,0,0,813,852,57.781,48.37,97.73,96
m7_32_3O1Z,7,32,0,0,0,0,0,0,6.084,97.30,0.00,96
m9_32_2O3Z,9,32,0,0,0,0,2,2,15.247,48.25,30.18,96
m9_32_3O2Z,9,32,0,0,0,0,0,0,3.619,57.71,0.00,96
m9_32_2O3Z_t12,9,32,0,0,1,2,0,0,6.250,100.00,0.00,96
m9_32_Z5,9,32,0,0,0,0,8,25,22.748,11.47,100.00,96
m11_32_5O5Z,11,32,0,0,0,0,0,0,3.077,48.81,0.08,96
m11_32_4O6Z,11,32,0,0,0,0,0,2,16.168,33.52,35.43,96
m11_32_6O4Z,11,32,0,0,0,0,0,0,3.618,57.89,0.00,96
m15_32_1O1Z,15,32,0,0,0,0,0,0,3.286,48.49,0.12,96
m15_32_ZZ,15,32,0,0,0,0,0,1,17.196,41.24,31.58,96
m15_32_OO,15,32,0,0,0,0,0,0,3.463,55.40,0.00,96
