Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
name,X,nf,tf,strict,soft95,meanrate_pct,jmaj_pct,jmin_pct,runs
m3_Z0,3,0,0,2043,2046,99.977,99.93,100.00,96
m3_O0,3,0,0,2043,2044,99.987,100.00,100.00,96
m3_simra,3,3,0,2048,2048,100.000,100.00,100.00,96
m5_Z0,5,0,0,968,984,66.143,56.21,99.85,96
m5_Z2,5,2,0,250,374,81.117,78.84,72.05,96
m5_simra,5,3,0,184,277,74.158,84.51,58.81,96
m7_ZZ,7,0,0,693,747,56.028,36.82,99.95,96
m7_OO,7,0,0,0,0,6.247,99.96,0.00,96
m7_BAL,7,0,0,1,1,15.202,52.56,38.33,96
m7_LAB,7,0,0,0,0,5.188,49.38,2.66,96
m7_FF2,7,2,0,0,0,6.630,54.83,13.20,96
m7_FF3,7,3,0,0,0,10.347,52.72,25.66,96
m9_4O,9,0,0,0,0,3.287,52.60,0.00,96
m9_3O,9,0,0,0,0,7.422,28.70,30.60,96
m9_3O_OF1,9,1,0,0,0,3.155,50.47,0.00,96
m9_3O_OF2,9,2,0,0,0,3.016,48.13,0.08,96
m9_3O_OF3,9,3,0,0,0,2.984,47.30,0.37,96
m9_3O_OF6,9,6,0,0,0,2.992,47.28,0.46,96
m9_3O_ZF2,9,2,0,0,0,2.970,46.46,0.86,96
m9_3O_ZF4,9,4,0,0,0,2.951,46.75,0.35,96
m9_3O_ZF8,9,8,0,0,0,2.955,46.95,0.24,96
m15_Z0,15,0,0,0,0,6.650,27.19,49.95,96
m15_O0,15,0,0,0,0,5.122,68.85,13.10,96
m15_OF1,15,1,0,0,0,5.410,45.80,40.57,96
m15_OF2,15,2,0,0,0,5.350,39.56,45.37,96
m15_OF3,15,3,0,0,0,5.251,37.27,45.91,96
m15_OF4,15,4,0,0,0,5.171,35.75,46.02,96
m15_OF6,15,6,0,0,0,5.162,34.97,46.72,96
m15_OF8,15,8,0,0,0,5.195,35.86,46.21,96
m15_OF12,15,12,0,0,0,5.106,34.72,46.03,96
m15_ZF2,15,2,0,0,0,5.069,32.51,47.17,96
m15_ZF4,15,4,0,0,0,5.139,34.62,46.70,96
m15_ZF6,15,6,0,0,0,5.149,35.03,46.64,96
m15_ZF8,15,8,0,0,0,5.118,35.18,45.96,96
m15_ZF12,15,12,0,0,0,5.138,35.11,46.28,96
m15_ZF16,15,16,0,0,0,5.146,35.01,46.44,96
