Opened /dev/xdma0_h2c_2 -> 3
Opened /dev/xdma0_c2h_2 -> 4
Successfully reset the FPGA!
name,X,nf,tf,strict,soft95,meanrate_pct,jmaj_pct,jmin_pct,runs
m3_Z0,3,0,0,2048,2048,100.000,100.00,100.00,96
m3_O0,3,0,0,2048,2048,100.000,100.00,100.00,96
m3_simra,3,3,0,2048,2048,100.000,100.00,100.00,96
m5_Z0,5,0,0,1111,1169,83.454,61.02,100.00,96
m5_Z2,5,2,0,1958,1996,99.671,99.15,99.89,96
m5_simra,5,3,0,1909,1971,99.498,99.89,99.75,96
m7_ZZ,7,0,0,737,818,56.261,43.37,100.00,96
m7_OO,7,0,0,0,0,6.250,100.00,0.00,96
m7_BAL,7,0,0,11,25,38.199,57.45,31.38,96
m7_LAB,7,0,0,2,10,32.108,60.07,17.19,96
m7_FF2,7,2,0,0,1,29.550,79.61,14.15,96
m7_FF3,7,3,0,7,24,43.305,71.44,30.47,96
m9_4O,9,0,0,0,0,3.657,58.50,0.00,96
m9_3O,9,0,0,5,15,24.804,40.93,25.51,96
m9_3O_OF1,9,1,0,0,0,3.024,48.39,0.00,96
m9_3O_OF2,9,2,0,0,0,3.041,48.24,0.00,96
m9_3O_OF3,9,3,0,0,0,3.058,48.24,0.00,96
m9_3O_OF6,9,6,0,0,0,3.070,48.24,0.00,96
m9_3O_ZF2,9,2,0,0,0,3.152,48.22,0.00,96
m9_3O_ZF4,9,4,0,0,0,3.086,48.23,0.00,96
m9_3O_ZF8,9,8,0,0,0,3.067,48.24,0.00,96
m15_Z0,15,0,0,2,7,27.022,35.53,36.49,96
m15_O0,15,0,0,0,0,3.817,61.02,0.00,96
m15_OF1,15,1,0,0,0,3.279,48.46,0.00,96
m15_OF2,15,2,0,0,0,3.453,48.19,0.00,96
m15_OF3,15,3,0,0,0,3.531,48.16,0.05,96
m15_OF4,15,4,0,0,0,3.550,48.08,0.00,96
m15_OF6,15,6,0,0,0,3.562,48.08,0.00,96
m15_OF8,15,8,0,0,0,3.546,48.06,0.05,96
m15_OF12,15,12,0,0,0,3.553,48.05,0.00,96
m15_ZF2,15,2,0,0,0,3.702,47.97,0.07,96
m15_ZF4,15,4,0,0,0,3.592,48.03,0.00,96
m15_ZF6,15,6,0,0,0,3.541,48.06,0.10,96
m15_ZF8,15,8,0,0,0,3.547,48.11,0.00,96
m15_ZF12,15,12,0,0,0,3.534,48.05,0.00,96
m15_ZF16,15,16,0,0,0,3.539,48.08,0.00,96
