Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
[rcrand] bender 0 bank 0 : 30000 random pairs, rows [0,65536), t_12=30, t_23 in {1,2}
[platform] BITSTREAM_IMEM in effect: 2048 (compile-time default)
[rcrand] 200/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 400/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 600/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 800/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 1000/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 1200/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 1400/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 1600/30000 pairs; clones=0 partial(>1000)=0 best=41/8192 (rA=12116,rB=41841)
[rcrand] 1800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 2000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 2200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 2400/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 2600/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 2800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 3000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 3200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 3400/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 3600/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 3800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 4000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 4200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 4400/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 4600/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 4800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 5000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 5200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 5400/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 5600/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 5800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 6000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 6200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 6400/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 6600/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 6800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 7000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 7200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 7400/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 7600/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 7800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 8000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 8200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 8400/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 8600/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 8800/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 9000/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 9200/30000 pairs; clones=0 partial(>1000)=0 best=43/8192 (rA=3555,rB=42094)
[rcrand] 9400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 9600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 9800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 10000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 10200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 10400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 10600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 10800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 11000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 11200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 11400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 11600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 11800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 12000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
