Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
k,d,A_local,t12,t23,S,fired
1,8,184,5,1,8,1
1,8,184,5,2,8,1
1,8,184,10,1,8,1
1,8,184,10,2,8,1
1,8,184,20,1,8,1
1,8,184,20,2,8,1
1,8,184,30,1,8,1
1,8,184,30,2,8,1
1,32,195,5,1,32,1
1,32,195,5,2,32,1
1,32,195,10,1,32,1
1,32,195,10,2,32,1
1,32,195,20,1,32,1
1,32,195,20,2,32,1
1,32,195,30,1,32,1
1,32,195,30,2,32,1
1,8,102,5,1,8,1
1,8,102,5,2,8,1
1,8,102,10,1,8,1
1,8,102,10,2,8,1
1,8,102,20,1,8,1
1,8,102,20,2,8,1
1,8,102,30,1,8,1
1,8,102,30,2,8,1
1,256,212,5,1,256,1
1,256,212,5,2,256,1
1,256,212,10,1,256,1
1,256,212,10,2,256,1
1,256,212,20,1,256,1
1,256,212,20,2,256,1
1,256,212,30,1,256,1
1,256,212,30,2,256,1
2,144,135,5,1,16,1
2,144,135,5,1,128,1
2,144,135,5,1,144,1
2,144,135,5,2,16,1
2,144,135,5,2,128,1
2,144,135,5,2,144,1
2,144,135,10,1,16,1
2,144,135,10,1,128,1
2,144,135,10,1,144,1
2,144,135,10,2,16,1
2,144,135,10,2,128,1
2,144,135,10,2,144,1
2,144,135,20,1,16,1
2,144,135,20,1,128,1
2,144,135,20,1,144,1
2,144,135,20,2,16,1
2,144,135,20,2,128,1
2,144,135,20,2,144,1
2,144,135,30,1,16,1
2,144,135,30,1,128,1
2,144,135,30,1,144,1
2,144,135,30,2,16,1
2,144,135,30,2,128,1
2,144,135,30,2,144,1
2,260,164,5,1,4,1
2,260,164,5,1,256,1
2,260,164,5,1,260,1
2,260,164,5,2,4,1
2,260,164,5,2,256,1
2,260,164,5,2,260,1
2,260,164,10,1,4,1
2,260,164,10,1,256,1
2,260,164,10,1,260,1
2,260,164,10,2,4,1
2,260,164,10,2,256,1
2,260,164,10,2,260,1
2,260,164,20,1,4,1
2,260,164,20,1,256,1
2,260,164,20,1,260,1
2,260,164,20,2,4,1
2,260,164,20,2,256,1
2,260,164,20,2,260,1
2,260,164,30,1,4,1
2,260,164,30,1,256,1
2,260,164,30,1,260,1
2,260,164,30,2,4,1
2,260,164,30,2,256,1
2,260,164,30,2,260,1
2,3,390,5,1,1,1
2,3,390,5,1,2,1
2,3,390,5,1,3,1
2,3,390,5,2,1,1
2,3,390,5,2,2,1
2,3,390,5,2,3,1
2,3,390,10,1,1,1
2,3,390,10,1,2,1
2,3,390,10,1,3,1
2,3,390,10,2,1,1
2,3,390,10,2,2,1
2,3,390,10,2,3,1
2,3,390,20,1,1,1
2,3,390,20,1,2,1
2,3,390,20,1,3,1
2,3,390,20,2,1,1
2,3,390,20,2,2,1
2,3,390,20,2,3,1
2,3,390,30,1,1,1
2,3,390,30,1,2,1
2,3,390,30,1,3,1
2,3,390,30,2,1,1
2,3,390,30,2,2,1
2,3,390,30,2,3,1
2,136,360,5,1,8,1
2,136,360,5,1,128,1
2,136,360,5,1,136,1
2,136,360,5,2,8,1
2,136,360,5,2,128,1
2,136,360,5,2,136,1
2,136,360,10,1,8,1
2,136,360,10,1,128,1
2,136,360,10,1,136,1
2,136,360,10,2,8,1
2,136,360,10,2,128,1
2,136,360,10,2,136,1
2,136,360,20,1,8,1
2,136,360,20,1,128,1
2,136,360,20,1,136,1
2,136,360,20,2,8,1
2,136,360,20,2,128,1
2,136,360,20,2,136,1
2,136,360,30,1,8,1
2,136,360,30,1,128,1
2,136,360,30,1,136,1
2,136,360,30,2,8,1
2,136,360,30,2,128,1
2,136,360,30,2,136,1
3,97,276,5,1,1,1
3,97,276,5,1,32,0
3,97,276,5,1,33,0
3,97,276,5,1,64,0
3,97,276,5,1,65,0
3,97,276,5,1,96,1
3,97,276,5,1,97,1
3,97,276,5,2,1,1
3,97,276,5,2,32,0
3,97,276,5,2,33,0
3,97,276,5,2,64,0
3,97,276,5,2,65,0
3,97,276,5,2,96,1
3,97,276,5,2,97,1
3,97,276,10,1,1,1
3,97,276,10,1,32,0
3,97,276,10,1,33,0
3,97,276,10,1,64,0
3,97,276,10,1,65,0
3,97,276,10,1,96,1
3,97,276,10,1,97,1
3,97,276,10,2,1,1
3,97,276,10,2,32,0
3,97,276,10,2,33,0
3,97,276,10,2,64,0
3,97,276,10,2,65,0
3,97,276,10,2,96,1
3,97,276,10,2,97,1
3,97,276,20,1,1,1
3,97,276,20,1,32,0
3,97,276,20,1,33,0
3,97,276,20,1,64,0
3,97,276,20,1,65,0
3,97,276,20,1,96,1
3,97,276,20,1,97,1
3,97,276,20,2,1,1
3,97,276,20,2,32,0
3,97,276,20,2,33,0
3,97,276,20,2,64,0
3,97,276,20,2,65,0
3,97,276,20,2,96,1
3,97,276,20,2,97,1
3,97,276,30,1,1,1
3,97,276,30,1,32,0
3,97,276,30,1,33,0
3,97,276,30,1,64,0
3,97,276,30,1,65,0
3,97,276,30,1,96,1
3,97,276,30,1,97,1
3,97,276,30,2,1,1
3,97,276,30,2,32,0
3,97,276,30,2,33,0
3,97,276,30,2,64,0
3,97,276,30,2,65,0
3,97,276,30,2,96,1
