Opened /dev/xdma0_h2c_3 -> 3
Opened /dev/xdma0_c2h_3 -> 4
Successfully reset the FPGA!
k,d,A_local,t12,t23,S,fired
1,8,184,5,1,8,1
1,8,184,5,2,8,1
1,8,184,10,1,8,1
1,8,184,10,2,8,1
1,8,184,20,1,8,1
1,8,184,20,2,8,1
1,8,184,30,1,8,1
1,8,184,30,2,8,1
1,32,195,5,1,32,1
1,32,195,5,2,32,1
1,32,195,10,1,32,1
1,32,195,10,2,32,1
1,32,195,20,1,32,1
1,32,195,20,2,32,1
1,32,195,30,1,32,1
1,32,195,30,2,32,1
1,8,102,5,1,8,1
1,8,102,5,2,8,1
1,8,102,10,1,8,1
1,8,102,10,2,8,1
1,8,102,20,1,8,1
1,8,102,20,2,8,1
1,8,102,30,1,8,1
1,8,102,30,2,8,1
1,256,212,5,1,256,2
1,256,212,5,2,256,2
1,256,212,10,1,256,2
1,256,212,10,2,256,2
1,256,212,20,1,256,2
1,256,212,20,2,256,2
1,256,212,30,1,256,2
1,256,212,30,2,256,2
1,32,405,5,1,32,1
1,32,405,5,2,32,1
1,32,405,10,1,32,1
1,32,405,10,2,32,1
1,32,405,20,1,32,1
1,32,405,20,2,32,1
1,32,405,30,1,32,1
1,32,405,30,2,32,1
1,16,70,5,1,16,1
1,16,70,5,2,16,1
1,16,70,10,1,16,1
1,16,70,10,2,16,1
1,16,70,20,1,16,1
1,16,70,20,2,16,1
1,16,70,30,1,16,1
1,16,70,30,2,16,1
2,3,390,5,1,1,0
2,3,390,5,1,2,0
2,3,390,5,1,3,1
2,3,390,5,2,1,0
2,3,390,5,2,2,0
2,3,390,5,2,3,1
2,3,390,10,1,1,0
2,3,390,10,1,2,0
2,3,390,10,1,3,1
2,3,390,10,2,1,0
2,3,390,10,2,2,0
2,3,390,10,2,3,1
2,3,390,20,1,1,0
2,3,390,20,1,2,0
2,3,390,20,1,3,1
2,3,390,20,2,1,0
2,3,390,20,2,2,0
2,3,390,20,2,3,1
2,3,390,30,1,1,0
2,3,390,30,1,2,0
2,3,390,30,1,3,1
2,3,390,30,2,1,0
2,3,390,30,2,2,0
2,3,390,30,2,3,1
2,136,360,5,1,8,1
2,136,360,5,1,128,1
2,136,360,5,1,136,1
2,136,360,5,2,8,1
2,136,360,5,2,128,1
2,136,360,5,2,136,1
2,136,360,10,1,8,1
2,136,360,10,1,128,1
2,136,360,10,1,136,1
2,136,360,10,2,8,1
2,136,360,10,2,128,1
2,136,360,10,2,136,1
2,136,360,20,1,8,0
2,136,360,20,1,128,0
2,136,360,20,1,136,1
2,136,360,20,2,8,0
2,136,360,20,2,128,0
2,136,360,20,2,136,1
2,136,360,30,1,8,0
2,136,360,30,1,128,0
2,136,360,30,1,136,1
2,136,360,30,2,8,0
2,136,360,30,2,128,0
2,136,360,30,2,136,1
2,576,541,5,1,64,0
2,576,541,5,1,512,2
2,576,541,5,1,576,2
2,576,541,5,2,64,0
2,576,541,5,2,512,2
2,576,541,5,2,576,2
2,576,541,10,1,64,0
2,576,541,10,1,512,2
2,576,541,10,1,576,2
2,576,541,10,2,64,0
2,576,541,10,2,512,2
2,576,541,10,2,576,2
2,576,541,20,1,64,0
2,576,541,20,1,512,0
2,576,541,20,1,576,2
2,576,541,20,2,64,0
2,576,541,20,2,512,0
2,576,541,20,2,576,2
2,576,541,30,1,64,0
2,576,541,30,1,512,0
2,576,541,30,1,576,2
2,576,541,30,2,64,0
2,576,541,30,2,512,0
2,576,541,30,2,576,2
2,17,524,5,1,1,2
2,17,524,5,1,16,0
2,17,524,5,1,17,1
2,17,524,5,2,1,2
2,17,524,5,2,16,0
2,17,524,5,2,17,1
2,17,524,10,1,1,2
2,17,524,10,1,16,0
2,17,524,10,1,17,1
2,17,524,10,2,1,2
2,17,524,10,2,16,0
2,17,524,10,2,17,1
2,17,524,20,1,1,0
2,17,524,20,1,16,0
2,17,524,20,1,17,1
2,17,524,20,2,1,0
2,17,524,20,2,16,0
2,17,524,20,2,17,1
2,17,524,30,1,1,0
2,17,524,30,1,16,0
2,17,524,30,1,17,1
2,17,524,30,2,1,0
2,17,524,30,2,16,0
2,17,524,30,2,17,1
2,5,544,5,1,1,0
2,5,544,5,1,4,0
2,5,544,5,1,5,1
2,5,544,5,2,1,0
2,5,544,5,2,4,0
2,5,544,5,2,5,1
2,5,544,10,1,1,0
2,5,544,10,1,4,0
2,5,544,10,1,5,1
2,5,544,10,2,1,0
2,5,544,10,2,4,0
2,5,544,10,2,5,1
2,5,544,20,1,1,0
2,5,544,20,1,4,0
2,5,544,20,1,5,1
2,5,544,20,2,1,0
2,5,544,20,2,4,0
2,5,544,20,2,5,1
2,5,544,30,1,1,0
2,5,544,30,1,4,0
2,5,544,30,1,5,1
2,5,544,30,2,1,0
2,5,544,30,2,4,0
2,5,544,30,2,5,1
2,6,308,5,1,2,0
2,6,308,5,1,4,0
2,6,308,5,1,6,1
2,6,308,5,2,2,0
2,6,308,5,2,4,0
2,6,308,5,2,6,1
2,6,308,10,1,2,0
2,6,308,10,1,4,0
2,6,308,10,1,6,1
2,6,308,10,2,2,0
2,6,308,10,2,4,0
2,6,308,10,2,6,1
2,6,308,20,1,2,0
2,6,308,20,1,4,0
2,6,308,20,1,6,1
